Unit,N,Top-k,Min sim.,Coverage (%),Zero-link n,Full top-k (%),Avg. kept links,Median kept links,Mean sim.,Median sim.,p10 sim.,p90 sim.
Query,15,20,0.45,100.0,0,100.0,20.0,20.0,0.7213246244192123,0.7131277620792389,0.6423458933830262,0.8152866959571838
Document,2812,15,0.45,99.57325746799431,12,94.1678520625889,14.579302987197725,15.0,0.6122092569177057,0.6082591414451599,0.516520869731903,0.7127224802970886
