qid,docno,score,rank,orig_score,kg_score,alpha
0,3848,0.7245511993765831,1,0.3899820148944855,0.7835928201675415,0.15
0,3851,0.6859341770410537,2,0.3944036364555359,0.7373807430267334,0.15
0,2922,0.6802903562784194,3,0.4748650193214416,0.7165418863296509,0.15
0,5070,0.6640895038843154,4,0.5181878209114075,0.689836859703064,0.15
0,2919,0.6598797693848609,5,0.3048566877841949,0.7225309014320374,0.15
0,2858,0.6575926721096039,6,0.3662953376770019,0.7089980840682983,0.15
0,5079,0.6570627242326736,7,0.3978717923164367,0.702802300453186,0.15
0,5073,0.6559289127588273,8,0.4382820129394531,0.6943371891975403,0.15
0,4753,0.6553627341985702,9,0.447880744934082,0.6919772028923035,0.15
0,2835,0.6348837330937385,10,0.4134905636310577,0.673953115940094,0.15
0,4408,0.619735026359558,11,0.4218657612800598,0.6546531319618225,0.15
0,3153,0.6145092234015465,12,0.4172403514385223,0.6493213772773743,0.15
0,4409,0.6141422033309937,13,0.4513901472091675,0.6428631544113159,0.15
0,5043,0.5731330215930939,14,0.3676354885101318,0.609397292137146,0.15
0,4410,0.5659894242882728,15,0.3424400985240936,0.605439305305481,0.15
0,3162,0.5472707271575927,16,0.3587566614151001,0.5805379152297974,0.15
0,3850,0.5361274406313896,17,0.4090679585933685,0.558549702167511,0.15
0,2921,0.4868736073374748,18,0.3368062078952789,0.51335608959198,0.15
0,5002,0.43978789299726484,19,0.3469972014427185,0.4561627209186554,0.15
0,3157,0.3954655811190605,20,0.407658189535141,0.3933139443397522,0.15
0,5011,0.37494306564331054,21,0.4528212547302246,0.36119985580444336,0.15
0,3846,0.37121679484844206,22,0.3056925535202026,0.38277989625930786,0.15
0,3849,0.3689592897891998,23,0.413516104221344,0.3610963225364685,0.15
0,5061,0.36235692799091335,24,0.3309677243232727,0.3678961992263794,0.15
0,5035,0.3579655632376671,25,0.377863347530365,0.3544541895389557,0.15
0,2832,0.34768150597810743,26,0.3046445846557617,0.3552762567996979,0.15
0,2875,0.26810263544321056,27,0.3387016057968139,0.2556439936161041,0.15
0,3091,0.2639170169830322,28,0.307898998260498,0.25615549087524414,0.15
0,2857,0.25895080268383025,29,0.3051612377166748,0.25079602003097534,0.15
0,5009,0.2545799121260643,30,0.3356014192104339,0.24028199911117554,0.15
0,4762,0.23902238458395003,31,0.3091405034065246,0.22664859890937805,0.15
0,5020,0.2322721943259239,32,0.3462918400764465,0.21215108036994934,0.15
0,5075,0.22981667295098304,33,0.3772408962249756,0.20380063354969025,0.15
0,5076,0.22599295228719712,34,0.3650381565093994,0.20145556330680847,0.15
0,2878,0.22310254424810408,35,0.4140043258666992,0.18941399455070496,0.15
0,4756,0.21361789405345916,36,0.3393195569515228,0.19143524765968323,0.15
0,4819,0.18628894239664076,37,0.3083508312702179,0.16474860906600952,0.15
0,3847,0.17888838723301886,38,0.4414404034614563,0.13255567848682404,0.15
0,4757,0.1637448266148567,39,0.3111498355865478,0.13773217797279358,0.15
0,2855,0.14599051214754583,40,0.424351155757904,0.09686804562807083,0.15
0,5165,0.13308036848902702,41,0.3337102234363556,0.09767509996891022,0.15
0,5193,0.12557951360940933,42,0.299055278301239,0.09496614336967468,0.15
0,4407,0.12383677512407303,43,0.4198989272117615,0.07159051299095154,0.15
0,5072,0.11037230752408504,44,0.3467080295085907,0.0686660036444664,0.15
0,5015,0.1066470008343458,45,0.3159616887569427,0.06970911473035812,0.15
0,5099,0.10320549048483371,46,0.3403258323669433,0.06136072427034378,0.15
0,3766,0.07816693177446724,47,0.3468557596206665,0.03075125627219677,0.15
0,2861,0.07129625985398888,48,0.4034704566001892,0.012677283957600594,0.15
0,5112,0.06883773319423199,49,0.3059818744659424,0.026988767087459564,0.15
0,5018,0.06821264656609854,50,0.451132595539093,0.0006385379238054156,0.15
1,4649,0.8559520184993743,1,0.3662204146385193,0.9423752427101135,0.15
1,4643,0.7948944956064223,2,0.4288997054100036,0.8594818115234375,0.15
1,4641,0.7834677860140801,3,0.4191549122333526,0.8477582931518555,0.15
1,5440,0.7720026418566703,4,0.4165555536746979,0.8347285985946655,0.15
1,4645,0.7057709127664566,5,0.4128242135047912,0.7574673891067505,0.15
1,4685,0.689575520157814,6,0.4023283123970032,0.7402662038803101,0.15
1,5431,0.686440697312355,7,0.4233680963516235,0.7328652739524841,0.15
1,3637,0.6788732841610908,8,0.3887680470943451,0.7300683259963989,0.15
1,5436,0.6786561712622642,9,0.4164578020572662,0.7249264717102051,0.15
1,4299,0.6759379759430885,10,0.3909567892551422,0.7262287735939026,0.15
1,4644,0.6726916313171386,11,0.3761814832687378,0.7250169515609741,0.15
1,5439,0.6721621125936508,12,0.4386962056159973,0.7133619785308838,0.15
1,5100,0.6682082653045653,13,0.4640769362449646,0.7042314410209656,0.15
1,4652,0.6576811254024506,14,0.5289400815963745,0.6804001331329346,0.15
1,4301,0.6488392606377602,15,0.4168697893619537,0.6897750496864319,0.15
1,4262,0.6470274806022643,16,0.4320143461227417,0.6849709749221802,0.15
1,3006,0.6386064797639847,17,0.3844071626663208,0.6834651827812195,0.15
1,5442,0.6371172606945038,18,0.3844301104545593,0.6817091107368469,0.15
1,4267,0.6252563342452049,19,0.442246526479721,0.657552182674408,0.15
1,4266,0.6173839554190635,20,0.4282527267932892,0.6507600545883179,0.15
1,5428,0.6127332299947739,21,0.3647456169128418,0.6564957499504089,0.15
1,4269,0.6090426817536354,22,0.4018594324588775,0.6456044316291809,0.15
1,2910,0.6020532011985779,23,0.3842815160751343,0.6404834985733032,0.15
1,5105,0.5998133748769761,24,0.4477484226226806,0.6266483664512634,0.15
1,5437,0.5949896261096,25,0.3884234130382538,0.6314424872398376,0.15
1,5435,0.5933000341057777,26,0.4748115241527557,0.614209771156311,0.15
1,5430,0.5844553977251052,27,0.4018545746803283,0.6166790723800659,0.15
1,4684,0.5836378037929535,28,0.4030416011810303,0.6155077219009399,0.15
1,5432,0.580471220612526,29,0.3851488828659057,0.6149398684501648,0.15
1,4648,0.5803156927227974,30,0.4142530262470245,0.6096208691596985,0.15
1,4640,0.5739573031663895,31,0.4555308818817138,0.5948560833930969,0.15
1,4651,0.5625328287482262,32,0.388265997171402,0.5932857990264893,0.15
1,4646,0.5457189381122589,33,0.4060186743736267,0.5703719258308411,0.15
1,4258,0.5409021377563477,34,0.4281434416770935,0.5608007311820984,0.15
1,4696,0.5197954684495926,35,0.4442048072814941,0.5331349968910217,0.15
1,4650,0.5074828118085861,36,0.3977094888687134,0.5268545746803284,0.15
1,5433,0.506484816968441,37,0.4327917993068695,0.5194894671440125,0.15
1,4261,0.4951710060238838,38,0.4167249500751495,0.5090144276618958,0.15
1,5096,0.49432881772518156,39,0.4570679664611816,0.5009042620658875,0.15
1,5444,0.4848764568567276,40,0.3790094256401062,0.503558874130249,0.15
1,5101,0.4822592094540596,41,0.4079037606716156,0.4953807592391968,0.15
1,2820,0.47406546920537945,42,0.4087899625301361,0.48558467626571655,0.15
1,4647,0.4735353410243988,43,0.3750607371330261,0.4909132122993469,0.15
1,4688,0.46653845459222787,44,0.4810257852077484,0.46398186683654785,0.15
1,5429,0.4597895577549934,45,0.4234169721603393,0.46620824933052063,0.15
1,2860,0.45115696191787713,46,0.4532145261764526,0.4507938623428345,0.15
1,4257,0.44992689788341517,47,0.3891273736953735,0.46065622568130493,0.15
1,5099,0.4351513549685478,48,0.4176316857337951,0.4382430613040924,0.15
1,2822,0.42422657310962675,49,0.39519202709198,0.4293503165245056,0.15
1,4292,0.4043765068054199,50,0.3888089954853058,0.40712371468544006,0.15
10,4147,0.5838737726211547,1,0.2636166214942932,0.7973785400390625,0.4
10,4150,0.5421606659889221,2,0.2951552867889404,0.7068309187889099,0.4
10,4154,0.535328209400177,3,0.3520112931728363,0.6575394868850708,0.4
10,5557,0.5262118577957153,4,0.2808841466903686,0.6897636651992798,0.4
10,5559,0.5156935572624206,5,0.2266496121883392,0.7083895206451416,0.4
10,4143,0.5081640243530273,6,0.3332290649414062,0.6247873306274414,0.4
10,5551,0.4970104932785034,7,0.2282270789146423,0.6761994361877441,0.4
10,4854,0.4951627254486084,8,0.3115073144435882,0.6175996661186218,0.4
10,4907,0.49484364986419677,9,0.2510783076286316,0.6573538780212402,0.4
10,4912,0.49066790342330935,10,0.2676537930965423,0.6393439769744873,0.4
10,4849,0.48713041543960567,11,0.3365224301815033,0.5875357389450073,0.4
10,4151,0.48498615026474,12,0.3016459345817566,0.6072129607200623,0.4
10,4443,0.4834898471832275,13,0.2814756631851196,0.6181659698486328,0.4
10,5483,0.4747340321540833,14,0.3032021522521972,0.5890886187553406,0.4
10,5566,0.47021359205245966,15,0.2454367876052856,0.6200647950172424,0.4
