Method,nDCG,Delta,%,MRR,P,R,F1,MAP,query_min_sim,query_topk,used_dim,explained_variance,n_query_links,linked_queries
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.45,querytopk=20)->@50",0.6467818491120564,0.146185759926743,29.202337590101934,0.9041666666666667,0.5613333333333334,0.4813521293873053,0.518275174933492,0.41051449808164653,0.45,20,512,0.7728558778762817,300,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.50,querytopk=20)->@50",0.6467818491120564,0.146185759926743,29.202337590101934,0.9041666666666667,0.5613333333333334,0.4813521293873053,0.518275174933492,0.41051449808164653,0.5,20,512,0.7728558778762817,300,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.55,querytopk=20)->@50",0.6467762980733657,0.14618020888805228,29.2012287043534,0.9041666666666667,0.5613333333333334,0.4813521293873053,0.518275174933492,0.41051449808164653,0.55,20,512,0.7728558778762817,299,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.45,querytopk=10)->@50",0.6341574961313186,0.13356140694600516,26.68047350576937,0.8727272727272727,0.5546666666666666,0.476246261580564,0.5124737874273766,0.40153310913436824,0.45,10,512,0.7728559970855713,150,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.50,querytopk=10)->@50",0.6341574961313186,0.13356140694600516,26.68047350576937,0.8727272727272727,0.5546666666666666,0.476246261580564,0.5124737874273766,0.40153310913436824,0.5,10,512,0.7728559970855713,150,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.55,querytopk=10)->@50",0.6341574961313186,0.13356140694600516,26.68047350576937,0.8727272727272727,0.5546666666666666,0.476246261580564,0.5124737874273766,0.40153310913436824,0.55,10,512,0.7728559970855713,150,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.45,querytopk=5)->@50",0.6056728995840577,0.10507681039874428,20.990337852968395,0.8711111111111111,0.5386666666666667,0.4614072759550679,0.49705268525023893,0.35765480479935513,0.45,5,512,0.7728559970855713,75,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.50,querytopk=5)->@50",0.6056728995840577,0.10507681039874428,20.990337852968395,0.8711111111111111,0.5386666666666667,0.4614072759550679,0.49705268525023893,0.35765480479935513,0.5,5,512,0.7728559970855713,75,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querymin=0.55,querytopk=5)->@50",0.6056728995840577,0.10507681039874428,20.990337852968395,0.8711111111111111,0.5386666666666667,0.4614072759550679,0.49705268525023893,0.35765480479935513,0.55,5,512,0.7728559970855713,75,15
