Method,nDCG,Delta,%,MRR,P,R,F1,MAP
ANN@100->@50,0.5005960891853134,0.0,0.0,0.7944444444444444,0.46266666666666656,0.4113092578171019,0.4354790056620452,0.273426672340607
OpenSearch sparse encoder (multilingual)->@50,0.305359358445599,-0.19523673073971437,-39.0008501779247,0.7134453781512604,0.2826666666666667,0.180631159578359,0.22041289590314664,0.11257118237900698
