qid,docno,score,rank,orig_score
0,5070,0.6040123403072357,1,0.5181878209114075
0,2922,0.5957031846046448,2,0.4748650193214416
0,3848,0.5867875665426254,3,0.3899820148944855
0,4753,0.5699289441108704,4,0.447880744934082
0,5073,0.5663097202777863,5,0.4382820129394531
0,3851,0.5658924877643585,6,0.3944036364555359
0,5079,0.5503370463848114,7,0.3978717923164367
0,4409,0.547126829624176,8,0.4513901472091675
0,2835,0.5437218099832535,9,0.4134905636310577
0,4408,0.538259357213974,10,0.4218657612800598
0,2858,0.5376466810703278,11,0.3662953376770019
0,3153,0.5332810431718826,12,0.4172403514385223
0,2919,0.5136939138174057,13,0.3048566877841949
0,5043,0.48851627111434937,14,0.3676354885101318
0,3850,0.4838089495897293,15,0.4090679585933685
0,4410,0.4739397019147873,16,0.3424400985240936
0,3162,0.46964728832244873,17,0.3587566614151001
0,2921,0.42508111894130707,18,0.3368062078952789
0,5011,0.4070107191801071,19,0.4528212547302246
0,5002,0.4015801399946213,20,0.3469972014427185
0,3157,0.4004857689142227,21,0.407658189535141
0,3849,0.38730621337890625,22,0.413516104221344
0,5035,0.36615876853466034,23,0.377863347530365
0,5061,0.349431648850441,24,0.3309677243232727
0,3846,0.3442356437444687,25,0.3056925535202026
0,2832,0.3299599885940552,26,0.3046445846557617
0,2878,0.3017086610198021,27,0.4140043258666992
0,2875,0.29717330634593964,28,0.3387016057968139
0,5075,0.2905210107564926,29,0.3772408962249756
0,5009,0.2879417613148689,30,0.3356014192104339
0,3847,0.2869978994131088,31,0.4414404034614563
0,5076,0.2832470238208771,32,0.3650381565093994
0,3091,0.2820272445678711,33,0.307898998260498
0,5020,0.27922166883945465,34,0.3462918400764465
0,2857,0.27797839045524597,35,0.3051612377166748
0,4762,0.267894946038723,36,0.3091405034065246
0,4756,0.26537762582302094,37,0.3393195569515228
0,2855,0.26060955598950386,38,0.424351155757904
0,4407,0.24574463069438934,39,0.4198989272117615
0,4819,0.23654957860708237,40,0.3083508312702179
0,5018,0.22588558390270919,41,0.451132595539093
0,4757,0.22444089502096173,42,0.3111498355865478
0,2856,0.2201993390917778,43,0.4570629298686981
0,5165,0.21569225192070007,44,0.3337102234363556
0,2861,0.20807371195405722,45,0.4034704566001892
0,5072,0.20768684893846512,46,0.3467080295085907
0,2882,0.20633579185232517,47,0.4153920412063598
0,5430,0.2012059655971825,48,0.4113442301750183
0,5099,0.20084318704903123,49,0.3403258323669433
0,5077,0.199177835136652,50,0.4112049341201782
1,4649,0.6542978286743164,1,0.3662204146385193
1,4643,0.6441908478736877,2,0.4288997054100036
1,4641,0.6334565132856369,3,0.4191549122333526
1,5440,0.6256419569253922,4,0.4165555536746979
1,4652,0.6046701073646545,5,0.5289400815963745
1,4645,0.5851456224918365,6,0.4128242135047912
