Method,nDCG,Delta,%,MRR,P,R,F1,MAP
"dense@100>>KG(SVD sim-only @512,alpha=0.5)->@50",0.6400769437957542,0.1394808546104408,27.862953311808038,0.9047619047619048,0.5533333333333333,0.47658792372495884,0.5121012556132107,0.4062369949036598
ANN@100->@50,0.5005960891853134,0.0,0.0,0.7944444444444444,0.46266666666666656,0.4113092578171019,0.4354790056620452,0.273426672340607
