Method,nDCG,Delta,%,MRR,P,R,F1,MAP,query_topk,used_dim,explained_variance,n_query_links,linked_queries
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querytopk=20)->@50",0.6467818491120564,0.146185759926743,29.202337590101934,0.9041666666666667,0.5613333333333334,0.4813521293873053,0.518275174933492,0.41051449808164653,20,512,0.7728558778762817,300,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querytopk=50)->@50",0.6422065225623078,0.14161043337699442,28.288361902198616,0.9355555555555556,0.5626666666666668,0.4774581410333993,0.5165722011422207,0.41314759835422016,50,512,0.7728560566902161,750,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querytopk=30)->@50",0.6359075482217588,0.13531145903644537,27.030067145881166,0.837037037037037,0.5586666666666668,0.4758539714910737,0.5139457682476475,0.4082805076939742,30,512,0.7728558778762817,450,15
"dense@100>>KG(SVD sim-only @512,alpha=0.30,querytopk=40)->@50",0.6087736480136595,0.10817755882834612,21.609749090209206,0.8584541062801933,0.564,0.47953290466204757,0.518347925630545,0.3682739220526389,40,512,0.7728559374809265,600,15
