scheme,weighting,hops,neighbor_w,svd_dim,explained_variance,nDCG@50,MRR@50,Prec@50,Recall@50,F1@50,MAP@50,Delta_vs_ANN,Beats_ComplEx_ref,Beats_RotatE_ref
sim-only,similarity,0,0.3,512,0.7728558778762817,0.6400769437957542,0.9047619047619048,0.5533333333333333,0.47658792372495884,0.5121012556132107,0.4062369949036598,0.1394808546104408,True,True
sim+graph,similarity,1,0.3,384,0.7289577722549438,0.6397111421890772,0.9366666666666668,0.5559999999999999,0.4710548694240477,0.5100146354335334,0.4098331851872091,0.1391150530037638,True,True
binary-only,binary,0,0.3,512,0.751620352268219,0.6367661398609268,0.9041666666666667,0.5546666666666666,0.47641087854791364,0.5125690792013433,0.4039877070415034,0.13617005067561339,True,True
binary+graph,binary,1,0.3,384,0.7057540416717529,0.6147176885679361,0.9031746031746032,0.5559999999999999,0.4709202074256636,0.5099356959486501,0.37411824561020185,0.11412159938262267,True,True
