qid,docno,score,rank
0,5070,0.5181878209114075,1
0,2922,0.47486501932144165,2
0,2856,0.4570629298686981,3
0,5011,0.4528212547302246,4
0,4409,0.4513901472091675,5
0,5018,0.451132595539093,6
0,4753,0.44788074493408203,7
0,3847,0.4414404034614563,8
0,5073,0.4382820129394531,9
0,2855,0.42435115575790405,10
0,4408,0.4218657612800598,11
0,4407,0.4198989272117615,12
0,3153,0.41724035143852234,13
0,2882,0.41539204120635986,14
0,2878,0.4140043258666992,15
0,3849,0.413516104221344,16
0,2835,0.41349056363105774,17
0,5430,0.4113442301750183,18
0,5077,0.4112049341201782,19
0,3850,0.40906795859336853,20
0,3157,0.407658189535141,21
0,2861,0.4034704566001892,22
0,5079,0.39787179231643677,23
0,4434,0.3965371251106262,24
0,4260,0.39540132880210876,25
0,3851,0.3944036364555359,26
0,3089,0.3905751705169678,27
0,3848,0.3899820148944855,28
0,5064,0.3890933692455292,29
0,4263,0.3869374096393585,30
0,5035,0.377863347530365,31
0,5075,0.3772408962249756,32
0,4957,0.376431941986084,33
0,5101,0.36812618374824524,34
0,5427,0.3680073618888855,35
0,5043,0.36763548851013184,36
0,5005,0.36686623096466064,37
0,2858,0.36629533767700195,38
0,5076,0.3650381565093994,39
0,4750,0.3608999252319336,40
0,3162,0.3587566614151001,41
0,2879,0.3565426766872406,42
0,5002,0.3469972014427185,43
0,3766,0.3468557596206665,44
0,5072,0.3467080295085907,45
0,5020,0.34629184007644653,46
0,4410,0.34244009852409363,47
0,5434,0.3418639004230499,48
0,5102,0.3404821753501892,49
0,5099,0.34032583236694336,50
0,4756,0.3393195569515228,51
0,5105,0.3393080234527588,52
0,2875,0.33870160579681396,53
0,3768,0.3380936086177826,54
0,2921,0.33680620789527893,55
0,5106,0.33573776483535767,56
0,5009,0.33560141921043396,57
0,5165,0.3337102234363556,58
0,5061,0.3309677243232727,59
0,5012,0.32960331439971924,60
0,5080,0.328050434589386,61
0,3088,0.32597821950912476,62
0,5100,0.3226410150527954,63
0,5494,0.32240790128707886,64
0,3069,0.3203029930591583,65
0,5097,0.3202529549598694,66
0,4571,0.3179100751876831,67
0,5015,0.31596168875694275,68
0,4261,0.31461408734321594,69
0,3405,0.31151479482650757,70
0,4757,0.31114983558654785,71
0,3087,0.31012776494026184,72
0,5007,0.3099992871284485,73
0,2881,0.30976876616477966,74
0,5098,0.3096993565559387,75
0,5517,0.3096468150615692,76
0,4762,0.30914050340652466,77
0,4819,0.3083508312702179,78
0,3091,0.30789899826049805,79
0,5103,0.30787375569343567,80
0,5066,0.3068927824497223,81
0,5157,0.30618801712989807,82
0,5112,0.3059818744659424,83
0,3846,0.30569255352020264,84
0,2857,0.3051612377166748,85
0,2919,0.30485668778419495,86
0,2832,0.3046445846557617,87
0,5104,0.3035534918308258,88
0,3800,0.3028949499130249,89
0,5034,0.3018534481525421,90
0,3629,0.29970961809158325,91
0,4952,0.2993190288543701,92
0,5193,0.299055278301239,93
0,3092,0.2983698844909668,94
0,4647,0.2948313057422638,95
0,3232,0.2947120666503906,96
0,3085,0.29293450713157654,97
0,4565,0.28969401121139526,98
0,5431,0.28911709785461426,99
0,4955,0.2888208031654358,100
1,4652,0.5289400815963745,1
1,5387,0.5213286876678467,2
1,3008,0.49098169803619385,3
1,5427,0.49091941118240356,4
1,4304,0.48252439498901367,5
1,4688,0.4810257852077484,6
1,5389,0.4795265197753906,7
1,4694,0.47574320435523987,8
1,5435,0.47481152415275574,9
1,5388,0.4685577154159546,10
1,5100,0.4640769362449646,11
1,4305,0.46396803855895996,12
1,5096,0.45706796646118164,13
1,4640,0.45553088188171387,14
1,3007,0.4535667896270752,15
1,2860,0.45321452617645264,16
1,4690,0.447998970746994,17
1,5105,0.44774842262268066,18
1,4306,0.4445233643054962,19
1,4696,0.44420480728149414,20
1,4697,0.4441973567008972,21
1,4267,0.44224652647972107,22
1,5438,0.44061726331710815,23
1,5439,0.4386962056159973,24
1,5433,0.4327917993068695,25
1,4262,0.4320143461227417,26
1,4643,0.42889970541000366,27
1,4266,0.4282527267932892,28
1,4258,0.4281434416770935,29
1,4791,0.4242481589317322,30
1,5429,0.42341697216033936,31
1,5431,0.42336809635162354,32
1,3005,0.4204859137535095,33
1,3010,0.42045077681541443,34
1,4641,0.41915491223335266,35
1,5099,0.41763168573379517,36
1,4301,0.41686978936195374,37
1,4261,0.41672495007514954,38
1,5440,0.4165555536746979,39
